num_rolls,num_experiments,mean,variance
28,5000,98.1022,83.21935516
28,10000,98.0069,80.27365239000001
28,50000,98.00738,82.3758055356
28,100000,98.03274,81.40576809240001
29,100,101.21,81.2459
29,500,101.088,83.224256
29,1000,101.373,82.625871
29,5000,101.52,85.864
29,10000,101.2563,84.37461031
29,50000,101.51682,84.7459970876
29,100000,101.51781,84.45256280389998
30,100,105.09,97.8019
30,500,104.966,91.62884399999999
30,1000,104.62,86.72559999999999
30,5000,105.134,86.754444
30,10000,105.0012,87.37779856
30,50000,104.87484,86.92789497439999
30,100000,105.06731,87.52393936390001
31,100,107.96,107.2184
31,500,108.084,87.11694399999999
31,1000,108.92,89.3356
31,5000,108.499,89.617199
31,10000,108.418,91.834276
31,50000,108.4853,89.59066391
31,100000,108.48052,89.87544052960001
32,100,112.11,74.19789999999999
32,500,111.56,87.75439999999999
32,1000,111.743,93.844951
32,5000,111.8578,92.82437916
32,10000,112.0422,93.60861916
32,50000,111.94514,93.53337038040002
32,100000,111.98069,93.11703712390002
33,100,115.93,73.7851
33,500,115.51,93.87389999999999
33,1000,115.733,102.041711
33,5000,115.3942,97.45520636
33,10000,115.3979,94.23997559
33,50000,115.50558,95.91760886360001
33,100000,115.45399,96.2934430799
34,100,119.44,94.20639999999999
34,500,119.632,101.584576
34,1000,119.216,98.52934399999998
34,5000,119.0712,96.46213055999999
34,10000,119.1475,96.58354375
34,50000,119.0679,99.88476959000002
34,100000,119.00706,98.8449301564
35,100,120.86,87.64040000000001
35,500,123.346,98.08628399999999
35,1000,122.501,96.26399900000001
35,5000,122.469,101.81823900000002
35,10000,122.4955,102.83497975000002
35,50000,122.47444,101.87494668640001
35,100000,122.5272,101.88438016000002
36,100,127.56,118.6464
36,500,125.956,96.902064
36,1000,126.146,104.90868400000001
36,5000,125.8464,103.51000704
36,10000,125.7343,106.50790351000002
36,50000,126.00926,106.17221425240001
36,100000,126.03262,105.0269159356
37,100,129.38,119.17560000000002
37,500,129.428,110.312816
37,1000,129.64,109.15839999999999
37,5000,129.3542,106.95754235999999
37,10000,129.6049,108.54219599000001
37,50000,129.49576,107.36282202240001
37,100000,129.49245,107.7445429975
38,100,131.17,135.5411
38,500,133.322,118.878316
38,1000,132.837,110.57443100000002
38,5000,132.7494,107.45619964000001
38,10000,132.9943,110.61586750999999
38,50000,133.01778,111.4037438716
38,100000,133.03695,110.10964469749999
39,100,134.99,115.4499
39,500,136.192,110.37513599999998
39,1000,136.036,117.80870399999999
39,5000,136.581,114.66063900000002
39,10000,136.6275,115.96294375
39,50000,136.48186,114.36995094039999
39,100000,136.55633,114.9413869311
40,100,139.4,116.62
40,500,140.556,101.510864
40,1000,140.068,113.061376
40,5000,139.873,116.637671
40,10000,140.1204,117.39270384
40,50000,140.027,116.36979099999999
40,100000,139.96847,117.2096358591
41,100,143.18,110.0476
41,500,144.224,108.101824
41,1000,143.267,121.03771100000002
41,5000,143.5912,120.72568256000001
41,10000,143.6859,119.33564118999999
41,50000,143.56384,118.47516445440002
41,100000,143.48758,120.2690857436
42,100,148.28,126.12159999999999
42,500,146.486,105.30580400000002
42,1000,146.775,119.662375
42,5000,147.1594,121.99079164
42,10000,147.0263,124.38860831
42,50000,147.0153,122.34738591
42,100000,147.03259,122.32572789189999
43,100,150.29,113.2859
43,500,149.89,112.35389999999998
43,1000,150.689,117.684279
43,5000,150.431,129.419639
